Id_Cliente;Ciudad; Patrimonio ; Ingresos_Mensuales ;No_hijos;oficina;fecha_ult_desembolso;monto_credito;tasa;saldo_capital;saldo_Ahorro;Antiguedad_en_meses;Max_dias_mora;plazo_dias;Edad
427956;Bogotá;12226965;2182307;1;4005;25/01/2018;1200000;33.18;363970;0;12;0;450;26
427963;Bogotá;12588363;1860081;0;4014;30/12/2017;2000000;25.12;1005056;132549;12;0;900;54
427966;Cali;12674036;781808;1;7025;10/02/2018;1500000;33.93;1329227;13104;12;0;450;37
427982;Barranquilla;13108331;1265832;1;4005;30/01/2018;1500000;31.89;384755;18085;12;58;720;40
427986;Bogotá;13232080;451523;0;4005;28/11/2017;3093120;33.18;2096181;0;12;0;720;61
427987;Cali;13240917;1808481;1;4010;17/11/2017;2639680;33.93;2639680;41365;12;0;1080;35
428021;Cali;14561764;976148;1;7032;11/01/2018;2285560;0.3;870846;0;12;0;720;28
428026;Barranquilla;14806140;2272658;0;7025;6/01/2018;1400000;32.27;1193305;21436;12;0;360;26
428035;Cartagena;15215264;747845;0;7032;21/01/2018;3500000;0.3;767448;0;12;0;720;44
428052;Barranquilla;15933340;1445077;0;4024;30/12/2017;1500000;33.93;1357387;33438;12;0;900;37
428053;Cartagena;15985670;837029;1;4011;18/12/2017;1500000;33.93;392262;0;12;0;540;43
428064;Cali;16400194;2226577;1;7032;17/02/2018;1064170;0.3;211724;0;12;0;540;25
428065;Bogotá;16442122;785749;1;7032;25/12/2017;2338552;0.3;828993;0;12;0;720;31
428114;Cali;18341666;2255111;1;7025;23/01/2018;2385560;33.93;1997956;0;12;0;720;57
428115;Barranquilla;18343345;1660255;0;7032;27/01/2018;4000000;0.3;1538055;8844;12;0;720;33
428130;Bogotá;18725395;1105443;0;7025;6/12/2017;2300000;33.93;2081267;0;12;0;720;61
428153;Cartagena;19695313;747845;0;4005;25/01/2018;1200000;33.18;363970;0;12;0;450;33
428160;Barranquilla;20028964;641087;1;4014;30/12/2017;2000000;25.12;1005056;132549;12;0;900;53
428163;Barranquilla;20126192;1420671;1;7025;10/02/2018;1500000;33.93;1329227;13104;12;0;450;32
428179;Bogotá;20874663;798230;1;4005;30/01/2018;1500000;31.89;384755;18085;12;58;720;33
428183;Cali;20989046;1736421;1;4005;28/11/2017;3093120;33.18;2096181;0;12;0;720;67
428184;Barranquilla;21051619;1175337;1;4010;17/11/2017;2639680;33.93;2639680;41365;12;0;1080;22
428218;Bogotá;22199196;478175;1;7032;11/01/2018;2285560;0.3;870846;0;12;0;720;33
428223;Cali;22290343;2170238;1;7025;6/01/2018;1400000;32.27;1193305;21436;12;0;360;31
428232;Bogotá;22469191;648242;0;7032;21/01/2018;3500000;0.3;767448;0;12;0;720;54
428238;Barranquilla;22538498;1196006;0;4025;11/12/2017;4069840;33.93;2634767;0;12;0;540;46
428295;Cali;24806717;1211145;1;7001;21/11/2017;1078430;33.93;882190;0;12;0;660;27
428298;Bogotá;24957341;1554778;1;7001;8/01/2018;1386240;33.93;1160705;0;12;0;720;30
428343;Cartagena;26317779;826784;1;4030;27/12/2017;2000000;33.93;976650;0;12;0;720;38
428363;Barranquilla;27223454;1390534;0;7001;19/12/2017;2093120;33.93;2093120;29105;12;0;720;25
428382;Barranquilla;27898525;2115730;0;4031;17/01/2018;2000000;33.93;397005;3936;12;0;540;29
428401;Cartagena;28662616;747845;1;4050;18/12/2017;600000;33.93;321872;0;12;0;360;34
428406;Cali;28762587;642440;1;4054;30/01/2018;1500000;28.73;18714;0;12;0;360;31
428411;Bogotá;28878280;640026;1;4031;1/12/2017;9000000;33.93;8253065;102328;12;0;1080;59
428456;Bogotá;30827172;2214874;1;4025;11/12/2017;4069840;33.93;2634767;0;12;0;540;37
428513;Bogotá;33606087;520931;0;4011;21/11/2017;1078430;33.93;882190;0;12;0;660;58
428516;Barranquilla;33673585;445030;0;4011;8/01/2018;1386240;33.93;1160705;0;12;0;720;57
428561;Cali;35870063;659421;1;4030;27/12/2017;2000000;33.93;976650;0;12;0;720;32
428581;Cali;36549405;1470579;2;4011;19/12/2017;2093120;33.93;2093120;29105;12;0;720;32
428600;Cali;37237354;1128776;1;4031;17/01/2018;2000000;33.93;397005;3936;12;0;540;38
428619;Cali;37799146;508963;1;4050;18/12/2017;600000;33.93;321872;0;12;0;360;33
428624;Cali;37877194;2148715;1;4054;30/01/2018;1500000;28.73;18714;0;12;0;360;23
428629;Cartagena;38016965;747845;0;4024;1/12/2017;9000000;33.93;8253065;102328;12;0;1080;30
428674;Cartagena;39682143;747845;0;4025;11/12/2017;4069840;33.93;2634767;0;12;0;540;27
428731;Barranquilla;41939512;559215;0;4011;21/11/2017;1078430;33.93;882190;0;12;0;660;40
428734;Cali;42041034;1736614;0;4011;8/01/2018;1386240;33.93;1160705;0;12;0;720;29
428779;Cali;43586652;784752;1;4030;27/12/2017;2000000;33.93;976650;0;12;0;720;21
428799;Barranquilla;44529168;2039000;1;4010;19/12/2017;2093120;33.93;2093120;29105;12;0;720;25
428818;Barranquilla;45250756;2157879;1;4031;17/01/2018;2000000;33.93;397005;3936;12;0;540;33
428837;Cartagena;45905210;747845;1;4050;18/12/2017;600000;33.93;321872;0;12;0;360;32
428842;Cartagena;46116890;749049;0;4054;30/01/2018;1500000;28.73;18714;0;12;0;360;50
428847;Bogotá;46224299;1571662;0;4024;1/12/2017;8900000;33.93;8253065;102328;12;0;1080;59
428895;Bogotá;48119537;571439;1;4024;27/01/2018;500000;33.93;153704;0;12;0;300;20
428907;Cali;48426986;2314713;1;7046;29/12/2017;1500000;33.93;1405975;19817;12;0;720;67
428918;Barranquilla;48657918;921753;0;4050;25/12/2017;1200000;22.6;226315;7745;12;24;540;39
428971;Bogotá;50869985;2195669;1;7039;28/01/2018;1000000;33.93;909687;0;12;0;540;66
428975;Barranquilla;51015589;1175884;1;4050;17/12/2017;3093120;33.93;1956831;0;12;0;720;34
428987;Bogotá;51562324;489245;1;7064;13/12/2017;1000000;33.93;750204;0;12;0;600;24
429000;Cali;52051991;478757;0;7064;23/01/2018;450000;33.93;425931;0;12;0;1080;32
429017;Bogotá;52650827;569907;1;4024;23/01/2018;1558200;33.93;901363;6533;12;0;450;33
429037;Cali;53469404;817294;0;7016;16/01/2018;500000;33.93;422162;2428;12;0;360;29
429052;Cartagena;53751049;768401;0;4017;1/12/2017;2000000;21.94;100600;0;12;0;720;60
429053;Cali;53758067;2272967;1;7046;25/12/2017;700000;33.93;527246;0;12;0;540;65
429067;Barranquilla;54271302;1451009;0;7064;5/12/2017;400000;33.93;378679;0;12;0;1080;65
429083;Cartagena;54931500;1347845;1;7064;27/12/2017;880000;33.93;849104;5048;12;0;1080;37
429093;Cartagena;55337957;909989;1;4050;1/02/2018;6139680;33.93;5691851;0;12;0;1080;58
429103;Cali;55751547;422207;0;7032;25/12/2017;4000000;0.3;134249;0;12;0;720;35
429107;Cartagena;55943763;934287;0;4005;21/12/2017;1500000;21.94;95896;3972;12;21;540;63
429119;Barranquilla;56246340;2121227;1;7064;12/02/2018;761000;33.93;720238;0;12;0;1080;52
429124;Bogotá;56390952;1655461;1;7064;14/02/2018;556000;33.93;515817;0;12;0;1080;52
428404;Cartagena;28734836;747845;0;7019;10/12/2017;2000000;0.28;419234;8853;12;0;720;39
428622;Bogotá;37845411;807480;0;7019;10/12/2017;2000000;0.28;419234;8853;12;0;720;54
428840;Cartagena;46053247;630110;1;7019;10/12/2017;2000000;0.28;419234;8853;12;0;720;51
427814;Cali;6877117;1070938;1;7038;20/01/2018;2000000;32.09;318575;6478;12;0;720;23
428011;Bogotá;14334986;1328401;1;7038;20/01/2018;2000000;32.09;318575;6478;12;0;720;43
428208;Bogotá;21927574;1664917;0;7038;20/01/2018;2000000;32.09;318575;6478;12;0;720;42
428893;Bogotá;48012431;1124960;0;7001;15/12/2017;3000000;0.28;627875;2455;18;0;720;60
429145;Cali;57237181;1892291;0;7001;15/12/2017;3000000;0.28;627875;2455;18;0;720;44
427758;Cartagena;4490186;947845;0;7059;2/12/2017;3207828;32.09;1674024;15712;44;0;1080;60
427955;Cartagena;12204946;747845;0;7059;2/12/2017;3207828;32.09;1674024;15712;44;0;1080;20
428152;Cartagena;19667807;747845;1;7059;2/12/2017;3207828;32.09;1674024;15712;44;0;1080;34
428354;Bogotá;26668971;695099;1;7032;30/01/2018;4173190;0.3;2310971;19062;67;0;900;41
428572;Cali;36227341;1708673;1;7032;30/01/2018;4173190;0.3;2310971;19062;67;0;900;22
428790;Cali;44164264;864418;1;7032;30/01/2018;4173190;0.3;2310971;19062;67;0;900;62
428445;Bogotá;30455827;1308543;1;7032;15/01/2018;1000000;0.3;79398;3711;69;39;450;40
428663;Barranquilla;39248420;1603389;0;7032;15/01/2018;1000000;0.3;79398;3711;69;39;450;64
428881;Cartagena;47539130;616754;1;7032;15/01/2018;1000000;0.3;79398;3711;69;39;450;50
429002;Cartagena;52077094;747845;0;7064;7/02/2018;350000;33.93;337546;7764;69;0;1080;44
429016;Cartagena;52598970;747845;1;7001;3/12/2017;4000000;0.28;2422890;45481;70;0;1080;24
429141;Cali;57122715;1000288;0;7001;6/12/2017;1000000;0.3;573946;4243;75;0;720;43
428324;Barranquilla;25747688;1806626;0;7021;3/12/2017;400000;0.3;146909;1086;93;0;360;56
428542;Bogotá;35030349;1085816;1;7021;3/12/2017;400000;0.3;146909;1086;93;0;360;60
428760;Bogotá;42849610;849182;1;7021;3/12/2017;400000;0.3;146909;1086;93;0;360;52
428904;Cali;48390716;1892849;1;7025;28/11/2017;4000000;33.93;3749119;51746;97;0;720;27
428966;Cali;50627611;1910986;1;7016;30/01/2018;4000000;33.93;3901173;41760;106;0;1080;30
427754;Cali;4319671;1595991;2;7032;4/12/2017;2200000;0.3;881353;20996;107;0;720;27
427951;Cartagena;11971619;747845;0;7032;4/12/2017;2200000;0.3;881353;20996;107;0;720;40
428148;Cartagena;19372838;747845;1;7032;4/12/2017;2200000;0.3;881353;20996;107;0;720;44
428392;Bogotá;28239961;1426356;1;7032;17/02/2018;1000000;0.3;134705;2877;115;0;540;60
428610;Cartagena;37510897;747845;1;7032;17/02/2018;1000000;0.3;134705;2877;115;0;540;50
428828;Barranquilla;45607203;532214;1;7032;17/02/2018;1000000;0.3;134705;2877;115;0;540;66
427708;Cartagena;2540999;1206216;1;7032;26/01/2018;1000000;0.3;134530;884;115;0;540;33
427905;Barranquilla;10208307;2254510;1;7032;26/01/2018;1000000;0.3;134530;884;115;0;540;24
428102;Bogotá;17960720;1217328;0;7032;26/01/2018;1000000;0.3;134530;884;115;0;540;22
428395;Cartagena;28426637;533079;0;7025;7/02/2018;320000;33.93;291036;5021;116;0;540;39
428613;Cali;37580178;1930248;1;7025;7/02/2018;320000;33.93;291036;5021;116;0;540;58
428831;Bogotá;45708164;731536;0;7025;7/02/2018;320000;33.93;291036;5021;116;0;540;23
427780;Bogotá;5108124;2242097;0;7025;15/11/2017;500000;33.93;374110;4610;116;0;510;68
427977;Cali;13007139;2193031;1;7025;15/11/2017;500000;33.93;374110;4610;116;0;510;47
428174;Cartagena;20495267;747845;1;7025;15/11/2017;500000;33.93;374110;4610;116;0;510;63
428602;Bogotá;37259574;1019063;0;7032;6/02/2018;5227592;0.3;4430053;21836;126;22;1080;53
428820;Barranquilla;45332993;523887;0;7032;6/02/2018;5227592;0.3;4430053;21836;126;22;1080;61
428370;Cali;27481218;934793;2;7001;26/12/2017;300000;33.93;110331;1178;13;0;360;24
428588;Bogotá;36719196;1905808;0;4011;26/12/2017;300000;33.93;110331;1178;13;0;360;55
428806;Cali;44867018;1803159;1;4011;26/12/2017;300000;33.93;110331;1178;13;0;360;35
429138;Barranquilla;56942507;2246870;0;7064;22/12/2017;5000000;33.93;4685725;96239;13;0;720;37
429073;Cali;54493651;1265097;0;7041;2/02/2018;300000;33.93;207391;1874;13;0;270;56
427799;Cali;5804213;926382;2;7025;18/11/2017;400000;33.93;207242;3235;13;0;180;50
427996;Cartagena;13660813;545200;0;7025;18/11/2017;400000;33.93;207242;3235;13;0;180;25
428193;Bogotá;21269081;810375;1;7025;18/11/2017;400000;33.93;207242;3235;13;0;180;59
427719;Cartagena;2804435;1036980;0;7041;5/02/2018;300000;33.93;272932;2466;13;0;540;42
427916;Cartagena;10649481;660972;0;7041;5/02/2018;300000;33.93;272932;2466;13;0;540;34
428113;Cartagena;18338604;747845;1;7041;5/02/2018;300000;33.93;272932;2466;13;0;540;27
429030;Bogotá;53302767;838270;0;7064;15/01/2018;300000;33.93;289488;3329;13;0;1080;23
428278;Barranquilla;24192702;1918023;0;7021;17/12/2017;480000;0.3;133344;2410;14;0;360;58
428496;Barranquilla;32431833;1715495;0;7021;17/12/2017;480000;0.3;133344;2410;14;0;360;41
428714;Cartagena;41323351;747845;1;7021;17/12/2017;480000;0.3;133344;2410;14;0;360;31
428376;Cali;27609501;1242786;1;4031;1/12/2017;320000;33.93;308674;3550;14;0;1080;50
428594;Bogotá;36940696;1718961;0;4011;1/12/2017;320000;33.93;308674;3550;14;0;1080;47
428812;Bogotá;45065560;2217119;0;4011;1/12/2017;320000;33.93;308674;3550;14;0;1080;33
429045;Cali;53624253;826194;1;4044;23/11/2017;300000;28.73;118456;1764;15;0;240;38
427676;Cali;1295389;1016650;1;7059;11/01/2018;346560;33.93;96841;1114;16;0;360;26
427873;Cali;9231038;702878;1;7059;11/01/2018;346560;33.93;96841;1114;16;0;360;38
428070;Cali;16604555;632812;1;7059;11/01/2018;346560;33.93;96841;1114;16;0;360;52
427800;Cali;6051325;916738;1;7032;18/01/2018;1464170;0.3;99290;571;16;0;540;23
427997;Bogotá;13701780;1642889;0;7032;18/01/2018;1464170;0.3;99290;571;16;0;540;30
428194;Bogotá;21291210;2224179;1;7032;18/01/2018;1464170;0.3;99290;571;16;0;540;37
427797;Cali;5772703;531715;1;7038;18/11/2017;489000;33.93;215990;3371;17;0;540;28
427994;Barranquilla;13600150;2154701;0;7038;18/11/2017;489000;33.93;215990;3371;17;0;540;40
428191;Cali;21199285;1730819;1;7038;18/11/2017;489000;33.93;215990;3371;17;0;540;58
427822;Cartagena;7149622;1795821;0;7032;22/01/2018;1500000;0.3;201617;662;17;0;540;22
428019;Bogotá;14513465;1332137;0;7032;22/01/2018;1500000;0.3;201617;662;17;0;540;32
428216;Barranquilla;22180752;1521730;1;7032;22/01/2018;1500000;0.3;201617;662;17;0;540;29
429012;Barranquilla;52454890;2044477;1;7030;11/02/2018;500000;33.93;431262;6731;17;0;540;51
429128;Cali;56580941;918225;1;7025;25/12/2017;400000;33.93;341244;8129;17;0;360;28
429066;Cali;54228543;441572;1;7016;28/01/2018;500000;33.93;463835;5334;17;0;360;32
427755;Cartagena;4366274;940573;0;7032;11/01/2018;1500000;0.3;298668;6624;17;0;540;23
427952;Cartagena;12079697;747845;0;7032;11/01/2018;1500000;0.3;298668;6624;17;0;540;22
428149;Cali;19568163;1981815;1;7032;11/01/2018;1500000;0.3;298668;6624;17;0;540;25
428270;Bogotá;23789693;1314444;1;7019;18/12/2017;450000;0.3;124557;921;19;0;360;29
428488;Cali;31919228;788623;1;7019;18/12/2017;450000;0.3;124557;921;19;0;360;46
428706;Barranquilla;41104929;1055597;0;7019;18/12/2017;450000;0.3;124557;921;19;0;360;27
428305;Barranquilla;25182653;1538287;1;7001;9/01/2018;1991098;33.93;462952;4563;20;0;540;53
428523;Bogotá;33968131;1223790;1;4011;9/01/2018;1991098;33.93;462952;4563;20;0;540;41
428741;Bogotá;42192512;1910756;1;4024;9/01/2018;1991098;33.93;462952;4563;20;0;540;65
429010;Barranquilla;52437986;2035156;0;7064;30/11/2017;444000;33.93;428258;9851;20;0;1080;63
428275;Bogotá;24027905;1682576;1;7032;28/01/2018;2000000;0.3;705655;13912;20;0;720;38
428493;Cartagena;32308428;747845;0;7032;28/01/2018;2000000;0.3;705655;13912;20;0;720;30
428711;Barranquilla;41201848;1591088;0;7032;28/01/2018;2000000;0.3;705655;13912;20;0;720;36
428915;Cartagena;48584118;747845;0;7030;21/11/2017;600000;33.93;311105;4089;21;0;180;66
428360;Barranquilla;27091276;1713526;1;7038;17/12/2017;500000;33.93;183386;3917;21;0;360;20
428578;Cali;36387634;2172020;1;7038;17/12/2017;500000;33.93;183386;3917;21;0;360;65
428796;Barranquilla;44412017;1867312;1;7038;17/12/2017;500000;33.93;183386;3917;21;0;360;65
429130;Cali;56671063;1023169;0;7064;30/12/2017;500000;33.93;482382;5548;22;0;1080;40
429036;Cartagena;53458701;747845;1;7025;22/12/2017;500000;33.93;431289;10275;22;0;540;56
429121;Cartagena;56349473;932171;1;7064;21/12/2017;487000;33.93;469725;11190;22;0;1080;25
428955;Cartagena;50195092;747845;0;7030;26/11/2017;510000;33.93;356536;4979;22;0;360;22
427768;Cartagena;4870949;1747845;1;7025;3/12/2017;500000;33.93;426448;10159;23;0;360;21
427965;Bogotá;12668611;1444721;1;7025;3/12/2017;500000;33.93;426448;10159;23;0;360;57
428162;Cartagena;20036320;747845;1;7025;3/12/2017;500000;33.93;426448;10159;23;0;360;39
427819;Cali;7056760;1931417;1;4005;3/01/2018;1300000;33.18;299288;3442;23;0;450;35
428016;Cali;14482905;1746737;1;4005;3/01/2018;1300000;33.18;299288;3442;23;0;450;42
428213;Barranquilla;22066612;1537085;1;4005;3/01/2018;1300000;33.18;299288;3442;23;0;450;66
427750;Bogotá;4144932;2279101;0;7032;17/12/2017;2100000;0.3;418248;9620;23;0;540;36
427947;Cartagena;11912045;747845;1;7032;17/12/2017;2100000;0.3;418248;9620;23;0;540;32
428144;Bogotá;19209290;2151295;0;7032;17/12/2017;2100000;0.3;418248;9620;23;0;540;35
428333;Cartagena;26133492;580872;0;7001;24/11/2017;700000;33.93;597107;5396;24;0;360;20
428551;Bogotá;35383008;1768873;0;4011;24/11/2017;700000;33.93;597107;5396;24;0;360;47
428769;Cali;43080645;1305968;0;4011;24/11/2017;700000;33.93;597107;5396;24;0;360;24
428897;Barranquilla;48135832;926764;1;7064;9/01/2018;528000;33.93;491096;5648;24;0;660;64
429077;Barranquilla;54569993;1055808;1;4050;17/02/2018;2000000;33.93;883198;16685;25;0;540;56
428261;Barranquilla;23274924;847392;1;7016;10/01/2018;500000;33.93;463835;5334;25;0;360;47
428479;Bogotá;31552019;810391;1;7016;10/01/2018;500000;33.93;463835;5334;25;0;360;40
428697;Bogotá;40623995;591369;1;7016;10/01/2018;500000;33.93;463835;5334;25;0;360;48
429078;Cali;54579513;1649812;1;7016;26/01/2018;500000;33.93;463794;8763;25;0;360;35
427786;Bogotá;5292243;1307429;0;7021;25/01/2018;1000000;0.3;532310;9620;25;0;720;27
427983;Barranquilla;13169542;1232359;1;7021;25/01/2018;1000000;0.3;532310;9620;25;0;720;43
428180;Barranquilla;20880650;1148975;0;7021;25/01/2018;1000000;0.3;532310;9620;25;0;720;34
427654;Bogotá;599863;1840287;0;7032;31/01/2018;2264170;0.3;304600;6756;26;0;540;40
427851;Cartagena;8307078;1317845;1;7032;31/01/2018;2264170;0.3;304600;6756;26;0;540;41
428048;Bogotá;15543647;1741970;0;7032;31/01/2018;2264170;0.3;304600;6756;26;0;540;40
428400;Cali;28632203;1371148;1;7038;1/02/2018;1500000;33.93;392806;6131;26;0;540;21
428618;Barranquilla;37736115;1385566;1;7038;1/02/2018;1500000;33.93;392806;6131;26;0;540;56
428836;Cartagena;45900166;747845;0;7038;1/02/2018;1500000;33.93;392806;6131;26;0;540;52
428312;Barranquilla;25313310;2308161;0;4030;1/01/2018;571000;33.93;522808;6013;26;0;570;27
428530;Barranquilla;34405967;1615401;1;4011;1/01/2018;571000;33.93;522808;6013;26;0;570;48
428748;Barranquilla;42427426;2308483;1;4011;1/01/2018;571000;33.93;522808;6013;26;0;570;28
428303;Bogotá;25141862;976284;0;7001;13/11/2017;350000;33.93;150291;1358;27;0;300;33
428521;Cali;33865736;1311128;1;4011;13/11/2017;350000;33.93;150291;1358;27;0;300;28
428739;Cali;42170466;954955;0;4024;13/11/2017;350000;33.93;150291;1358;27;0;300;28
428429;Barranquilla;29491633;942384;0;7032;12/11/2017;2000000;0.3;800822;7894;28;0;720;50
428647;Barranquilla;38616899;1769794;0;7032;12/11/2017;2000000;0.3;800822;7894;28;0;720;25
428865;Bogotá;47043754;1974672;1;7032;12/11/2017;2000000;0.3;800822;7894;28;0;720;55
428980;Barranquilla;51408284;2297236;0;7064;23/01/2018;600000;33.93;292104;2640;29;0;480;37
428428;Cali;29473265;1745006;1;4031;21/11/2017;690000;33.93;665613;8749;30;0;1080;36
428646;Bogotá;38526214;479253;1;4011;21/11/2017;690000;33.93;665613;8749;30;0;1080;20
428864;Bogotá;47024570;843325;0;4011;21/11/2017;690000;33.93;665613;8749;30;0;1080;36
429082;Barranquilla;54920529;617541;0;7030;22/12/2017;600000;33.93;435349;7868;30;0;300;53
427715;Cartagena;2731639;1882496;1;4005;16/12/2017;1000000;33.18;536448;12778;30;0;360;35
427912;Bogotá;10554218;1360488;1;4005;16/12/2017;1000000;33.18;536448;12778;30;0;360;64
428109;Cali;18265005;2168025;1;4005;16/12/2017;1000000;33.18;536448;12778;30;0;360;48
427804;Cartagena;6260842;1127845;1;7064;29/12/2017;800000;33.93;709801;9329;30;0;450;48
428001;Bogotá;13975095;1592350;0;7064;29/12/2017;800000;33.93;709801;9329;30;0;450;35
428198;Barranquilla;21512470;1760282;1;7064;29/12/2017;800000;33.93;709801;9329;30;0;450;48
429040;Cali;53537653;561111;1;7030;16/12/2017;690000;33.93;536311;11014;30;0;360;35
428962;Barranquilla;50443417;1458684;0;4031;24/11/2017;400000;33.93;327594;6458;30;0;300;33
427655;Barranquilla;606058;1900624;0;4024;21/01/2018;400000;33.93;279421;3213;31;0;360;36
427852;Barranquilla;8314070;696553;0;4024;21/01/2018;400000;33.93;279421;3213;31;0;360;21
428049;Cartagena;15556463;540665;0;4024;21/01/2018;400000;33.93;279421;3213;31;0;360;60
429061;Cali;54152559;862152;0;4030;18/01/2018;400000;33.93;400000;10185;31;0;240;35
428976;Barranquilla;51076796;1154105;1;7064;24/12/2017;761000;33.93;720238;17158;31;0;1080;62
428949;Cartagena;49569478;747845;0;7019;26/01/2018;8900000;0.25;1090125;23026;31;0;1080;24
429028;Cartagena;53174242;422315;1;7030;29/11/2017;1190954;33.93;705473;7534;32;0;210;61
427710;Cali;2549017;1866910;2;7032;29/01/2018;1564170;0.3;209018;6181;32;6;540;59
427907;Cali;10298764;532670;1;7032;29/01/2018;1564170;0.3;209018;6181;32;6;540;63
428104;Cali;18107655;1613722;1;7032;29/01/2018;1564170;0.3;209018;6181;32;6;540;40
429063;Cali;54169685;1987115;0;7064;27/11/2017;777000;33.93;749633;16011;33;0;1080;47
428357;Barranquilla;26817176;1171595;0;4030;31/12/2017;1200000;33.93;387611;4776;33;0;540;59
428575;Barranquilla;36298539;2084925;1;4030;31/12/2017;1200000;33.93;387611;4776;33;0;540;44
428793;Barranquilla;44303933;1183693;0;4030;31/12/2017;1200000;33.93;387611;4776;33;0;540;25
428984;Bogotá;51494785;1027206;1;4024;4/01/2018;2000000;33.93;523027;5585;33;0;540;36
427738;Bogotá;3546076;1532791;0;7038;14/02/2018;2000000;33.93;518251;8089;34;0;720;28
427935;Cartagena;11473643;747845;1;7038;14/02/2018;2000000;33.93;518251;8089;34;0;720;66
428132;Cartagena;18815829;747845;1;7038;14/02/2018;2000000;33.93;518251;8089;34;0;720;24
428438;Cali;30069123;1775888;2;4031;2/12/2017;692000;33.93;692000;6822;34;0;1080;36
428656;Cartagena;38883260;747845;1;4011;2/12/2017;692000;33.93;692000;6822;34;0;1080;39
428874;Cartagena;47365506;747845;1;4011;2/12/2017;692000;33.93;692000;6822;34;0;1080;24
428317;Cali;25482713;2334452;1;7030;19/11/2017;780000;33.93;672858;11055;34;0;540;49
428535;Cartagena;34726040;657549;1;7030;19/11/2017;780000;33.93;672858;11055;34;0;540;67
428753;Bogotá;42516108;1879622;0;7030;19/11/2017;780000;33.93;672858;11055;34;0;540;53
427836;Bogotá;7756443;1472764;0;4003;23/01/2018;2000000;33.93;646018;6368;34;0;540;21
428033;Bogotá;15156031;1969990;0;4003;23/01/2018;2000000;33.93;646018;6368;34;0;540;42
428230;Bogotá;22419858;2009096;1;4003;23/01/2018;2000000;33.93;646018;6368;34;0;540;67
428308;Bogotá;25236953;1118393;0;4030;13/12/2017;800000;33.93;621636;8681;34;0;360;62
428526;Cartagena;34094600;747845;1;7030;13/12/2017;800000;33.93;621636;8681;34;0;360;38
428744;Barranquilla;42347975;598989;1;7030;13/12/2017;800000;33.93;621636;8681;34;0;360;58
429042;Cartagena;53584328;747845;0;4003;12/12/2017;2000000;33.93;267878;4841;34;0;540;25
429021;Cartagena;52814779;747845;0;7039;12/01/2018;2000000;33.93;614718;11614;34;0;720;48
428268;Cali;23742625;883162;1;4050;1/12/2017;438800;33.93;438800;8290;34;0;300;37
428486;Cali;31876667;840201;2;4050;1/12/2017;438800;33.93;438800;8290;34;0;300;55
428704;Cartagena;40992796;747845;0;4050;1/12/2017;438800;33.93;438800;8290;34;0;300;44
427828;Barranquilla;7465385;2109567;1;7032;25/11/2017;1564170;0.3;310799;9108;34;6;540;35
