Id_Cliente;Ciudad; Patrimonio ; Ingresos_Mensuales ;No_hijos;oficina;fecha_ult_desembolso;monto_credito;tasa;saldo_capital;saldo_Ahorro;Antiguedad_en_meses;Max_dias_mora;plazo_dias;Edad;Acepta_Campaña
217164;Barranquilla;13380000;1513835;2;4011;2/05/2017;1500000;33.93;392262;0;12;0;540;59;1
217175;Barranquilla;17320000;1594497;0;7032;2/07/2017;1064170;0.30;211724;0;12;0;540;63;1
217176;Barranquilla;17439000;1104406;2;7032;9/05/2017;2338552;0.30;828993;0;12;0;720;55;1
217225;Barranquilla;41366000;1988538;2;7025;7/06/2017;2385560;33.93;1997956;0;12;0;720;45;0
217226;Barranquilla;41771000;1690652;1;7032;11/06/2017;4000000;0.30;1538055;8844;12;0;720;55;1
217241;Barranquilla;49007000;868070;0;7025;20/04/2017;2300000;33.93;2081267;0;12;0;720;37;0
217264;Barranquilla;57815000;1338413;2;4005;9/06/2017;1200000;33.18;363970;0;12;0;450;38;0
217271;Barranquilla;61457000;2024862;2;4014;14/05/2017;2000000;25.12;1005056;132549;12;0;900;69;1
217274;Barranquilla;63614000;1135835;0;7025;25/06/2017;1500000;33.93;1329227;13104;12;0;450;69;1
217290;Barranquilla;72990000;1210048;2;4005;14/06/2017;1500000;31.89;384755;18085;12;58;720;53;1
217294;Barranquilla;75371000;1361343;0;4005;12/04/2017;3093120;33.18;2096181;0;12;0;720;24;0
217295;Barranquilla;75409000;1695564;1;4010;1/04/2017;2639680;33.93;2639680;41365;12;0;1080;35;0
217319;Barranquilla;88360000;1139689;0;7038;4/06/2017;2000000;32.09;318575;6478;12;0;720;66;1
217329;Barranquilla;91586000;1576317;0;7032;26/05/2017;2285560;0.30;870846;0;12;0;720;31;0
217334;Barranquilla;92812000;1576275;1;7025;21/05/2017;1400000;32.27;1193305;21436;12;0;360;38;0
217343;Barranquilla;96236000;1561787;0;7032;5/06/2017;3500000;0.30;767448;0;12;0;720;23;0
217360;Barranquilla;13224000;2042480;1;4024;14/05/2017;1500000;33.93;1357387;33438;12;0;900;50;1
217361;Barranquilla;13380000;1513835;2;4011;2/05/2017;1500000;33.93;392262;0;12;0;540;59;1
217372;Barranquilla;17320000;1594497;0;7032;2/07/2017;1064170;0.30;211724;0;12;0;540;63;1
217373;Barranquilla;17439000;1104406;2;7032;9/05/2017;2338552;0.30;828993;0;12;0;720;55;1
217422;Barranquilla;41366000;1988538;2;7025;7/06/2017;2385560;33.93;1997956;0;12;0;720;45;0
217423;Barranquilla;41771000;1690652;1;7032;11/06/2017;4000000;0.30;1538055;8844;12;0;720;55;1
217438;Barranquilla;49007000;868070;0;7025;20/04/2017;2300000;33.93;2081267;0;12;0;720;37;0
217461;Barranquilla;57815000;1338413;2;4005;9/06/2017;1200000;33.18;363970;0;12;0;450;38;0
217468;Barranquilla;61457000;2024862;2;4014;14/05/2017;2000000;25.12;1005056;132549;12;0;900;69;1
217471;Barranquilla;63614000;1135835;0;7025;25/06/2017;1500000;33.93;1329227;13104;12;0;450;69;1
217487;Barranquilla;72990000;1210048;2;4005;14/06/2017;1500000;31.89;384755;18085;12;58;720;53;1
217491;Barranquilla;75371000;1361343;0;4005;12/04/2017;3093120;33.18;2096181;0;12;0;720;24;0
217492;Barranquilla;75409000;1695564;1;4010;1/04/2017;2639680;33.93;2639680;41365;12;0;1080;35;0
217516;Barranquilla;88360000;1139689;0;7038;4/06/2017;2000000;32.09;318575;6478;12;0;720;66;1
217526;Barranquilla;91586000;1576317;0;7032;26/05/2017;2285560;0.30;870846;0;12;0;720;31;0
217531;Barranquilla;92812000;1576275;1;7025;21/05/2017;1400000;32.27;1193305;21436;12;0;360;38;0
217540;Barranquilla;96236000;1561787;0;7032;5/06/2017;3500000;0.30;767448;0;12;0;720;23;0
217546;Bogotá;42078698;421263;1;4025;25/04/2017;4069840;33.93;2634767;0;12;0;540;41;1
217603;Bogotá;32186000;861085;0;7001;5/04/2017;1078430;33.93;882190;0;12;0;660;38;1
217606;Bogotá;33610000;861085;0;7001;23/05/2017;1386240;33.93;1160705;0;12;0;720;53;1
217651;Bogotá;50979000;774851;0;4030;11/05/2017;2000000;33.93;976650;0;12;0;720;40;1
217671;Bogotá;60390000;2203119;0;7001;3/05/2017;2093120;33.93;2093120;29105;12;0;720;64;0
217690;Bogotá;68073000;1566001;0;4031;1/06/2017;2000000;33.93;397005;3936;12;0;540;22;0
217709;Bogotá;77947000;1395999;0;4050;2/05/2017;600000;33.93;321872;0;12;0;360;48;0
217712;Bogotá;84578000;1346322;2;7019;24/04/2017;2000000;0.28;419234;8853;12;0;720;44;0
217714;Bogotá;84578000;2111308;2;4054;14/06/2017;1500000;28.73;18714;0;12;0;360;37;0
217719;Bogotá;82406000;2067983;2;4031;15/04/2017;9000000;33.93;8253065;102328;12;0;1080;69;0
217764;Bogotá;84578000;2021263;2;4025;25/04/2017;4069840;33.93;2634767;0;12;0;540;41;0
217821;Bogotá;32186000;1395698;1;4011;5/04/2017;1078430;33.93;882190;0;12;0;660;38;0
217824;Bogotá;33610000;1484382;0;4011;23/05/2017;1386240;33.93;1160705;0;12;0;720;53;0
217869;Bogotá;84578000;2326144;2;4030;11/05/2017;2000000;33.93;976650;0;12;0;720;40;0
217889;Bogotá;60390000;703119;2;4011;3/05/2017;2093120;33.93;2093120;29105;12;0;720;64;1
217908;Bogotá;68073000;747054;1;4031;1/06/2017;2000000;33.93;397005;3936;12;0;540;22;1
217927;Bogotá;77947000;1395999;0;4050;2/05/2017;600000;33.93;321872;0;12;0;360;48;0
217930;Bogotá;79651000;747054;2;7019;24/04/2017;2000000;0.28;419234;8853;12;0;720;44;1
217932;Bogotá;80502000;747054;2;4054;14/06/2017;1500000;28.73;18714;0;12;0;360;37;1
217937;Bogotá;82406000;1267983;0;4024;15/04/2017;9000000;33.93;8253065;102328;12;0;1080;69;0
217982;Bogotá;6991000;2021263;2;4025;25/04/2017;4069840;33.93;2634767;0;12;0;540;41;0
218039;Bogotá;32186000;1395698;1;4011;5/04/2017;1078430;33.93;882190;0;12;0;660;38;0
218042;Bogotá;33610000;1484382;0;4011;23/05/2017;1386240;33.93;1160705;0;12;0;720;53;0
218087;Bogotá;50979000;2326144;2;4030;11/05/2017;2000000;33.93;976650;0;12;0;720;40;1
218107;Bogotá;60390000;2203119;2;4010;3/05/2017;2093120;33.93;2093120;29105;12;0;720;64;1
218126;Bogotá;68073000;1566001;1;4031;1/06/2017;2000000;33.93;397005;3936;12;0;540;22;1
218145;Bogotá;77947000;1395999;0;4050;2/05/2017;600000;33.93;321872;0;12;0;360;48;0
218148;Bogotá;79651000;1346322;2;7019;24/04/2017;2000000;0.28;419234;8853;12;0;720;44;1
218150;Bogotá;80502000;2111308;2;4054;14/06/2017;1500000;28.73;18714;0;12;0;360;37;1
218155;Bogotá;50000000;2067983;2;4024;15/04/2017;8900000;33.93;8253065;102328;12;0;1080;69;1
218203;Cali;7486000;1126138;2;4024;11/06/2017;500000;33.93;153704;0;12;0;300;31;0
218215;Cali;11568000;1683917;0;7046;13/05/2017;1500000;33.93;1405975;19817;12;0;720;56;1
218226;Cali;17350000;1036678;2;4050;9/05/2017;1200000;22.60;226315;7745;12;24;540;64;0
218279;Cali;30648000;1032947;2;7039;12/06/2017;1000000;33.93;909687;0;12;0;540;65;0
218283;Cali;33244000;1972704;0;4050;1/05/2017;3093120;33.93;1956831;0;12;0;720;40;1
218295;Cali;38179000;1702293;2;7064;27/04/2017;1000000;33.93;750204;0;12;0;600;62;0
218308;Cali;43220000;2186420;0;7064;7/06/2017;450000;33.93;425931;0;12;0;1080;30;1
218325;Cali;49904000;1670091;2;4024;7/06/2017;1558200;33.93;901363;6533;12;0;450;42;0
218345;Cali;56249000;1968522;0;7016;31/05/2017;500000;33.93;422162;2428;12;0;360;53;1
218360;Cali;62207000;1596535;1;4017;15/04/2017;2000000;21.94;100600;0;12;0;720;20;0
218361;Cali;62258000;1560181;1;7046;9/05/2017;700000;33.93;527246;0;12;0;540;20;0
218375;Cali;65599000;1522914;2;7064;19/04/2017;400000;33.93;378679;0;12;0;1080;30;0
218391;Cali;70024000;1416871;1;7064;11/05/2017;880000;33.93;849104;5048;12;0;1080;23;0
218401;Cali;75135000;1347609;2;4050;16/06/2017;6139680;33.93;5691851;0;12;0;1080;57;0
218411;Cali;78416000;1460249;2;7032;9/05/2017;4000000;0.30;134249;0;12;0;720;49;0
218415;Cali;79772000;2228457;1;4005;5/05/2017;1500000;21.94;95896;3972;12;21;540;65;0
218427;Cali;86133000;1542612;0;7064;27/06/2017;761000;33.93;720238;0;12;0;1080;48;1
218432;Cali;87373000;1853002;0;7064;29/06/2017;556000;33.93;515817;0;12;0;1080;69;0
218455;Cali;7486000;1126138;2;4024;11/06/2017;500000;33.93;153704;0;12;0;300;31;0
218467;Cali;11568000;1683917;0;7046;13/05/2017;1500000;33.93;1405975;19817;12;0;720;56;1
218478;Cali;17350000;1036678;2;4050;9/05/2017;1200000;22.60;226315;7745;12;24;540;64;0
218531;Cali;30648000;1032947;2;7039;12/06/2017;1000000;33.93;909687;0;12;0;540;65;0
218535;Cali;33244000;1972704;0;4050;1/05/2017;3093120;33.93;1956831;0;12;0;720;40;1
218547;Cali;38179000;1702293;2;7064;27/04/2017;1000000;33.93;750204;0;12;0;600;62;0
218560;Cali;43220000;2186420;0;7064;7/06/2017;450000;33.93;425931;0;12;0;1080;30;1
218577;Cali;49904000;1670091;2;4024;7/06/2017;1558200;33.93;901363;6533;12;0;450;42;0
218597;Cali;56249000;1968522;0;7016;31/05/2017;500000;33.93;422162;2428;12;0;360;53;1
218612;Cali;62207000;1596535;1;4017;15/04/2017;2000000;21.94;100600;0;12;0;720;20;0
218613;Cali;62258000;1560181;1;7046;9/05/2017;700000;33.93;527246;0;12;0;540;20;0
218627;Cali;65599000;1522914;2;7064;19/04/2017;400000;33.93;378679;0;12;0;1080;30;0
218643;Cali;70024000;1416871;1;7064;11/05/2017;880000;33.93;849104;5048;12;0;1080;23;0
218653;Cali;75135000;1347609;2;4050;16/06/2017;6139680;33.93;5691851;0;12;0;1080;57;0
218663;Cali;78416000;1460249;2;7032;9/05/2017;4000000;0.30;134249;0;12;0;720;49;0
218667;Cali;79772000;2228457;1;4005;5/05/2017;1500000;21.94;95896;3972;12;21;540;65;0
218679;Cali;86133000;1542612;0;7064;27/06/2017;761000;33.93;720238;0;12;0;1080;48;1
218684;Cali;87373000;1853002;0;7064;29/06/2017;556000;33.93;515817;0;12;0;1080;69;0
218707;Cali;7486000;1126138;2;4024;11/06/2017;500000;33.93;153704;0;12;0;300;31;0
218719;Cali;11568000;1683917;0;7046;13/05/2017;1500000;33.93;1405975;19817;12;0;720;56;1
218730;Cali;17350000;1036678;2;4050;9/05/2017;1200000;22.60;226315;7745;12;24;540;64;0
218783;Cali;30648000;1032947;2;7039;12/06/2017;1000000;33.93;909687;0;12;0;540;65;0
218787;Cali;33244000;1972704;0;4050;1/05/2017;3093120;33.93;1956831;0;12;0;720;40;1
218799;Cali;38179000;1702293;2;7064;27/04/2017;1000000;33.93;750204;0;12;0;600;62;0
218812;Cali;43220000;2186420;0;7064;7/06/2017;450000;33.93;425931;0;12;0;1080;30;1
218829;Cali;49904000;1670091;2;4024;7/06/2017;1558200;33.93;901363;6533;12;0;450;42;0
218849;Cali;56249000;1968522;0;7016;31/05/2017;500000;33.93;422162;2428;12;0;360;53;1
218864;Cali;62207000;1596535;1;4017;15/04/2017;2000000;21.94;100600;0;12;0;720;20;0
218865;Cali;62258000;1560181;1;7046;9/05/2017;700000;33.93;527246;0;12;0;540;20;0
218879;Cali;65599000;1522914;2;7064;19/04/2017;400000;33.93;378679;0;12;0;1080;30;0
218895;Cali;70024000;1416871;1;7064;11/05/2017;880000;33.93;849104;5048;12;0;1080;23;0
218905;Cali;75135000;1347609;2;4050;16/06/2017;6139680;33.93;5691851;0;12;0;1080;57;0
218915;Cali;78416000;1460249;2;7032;9/05/2017;4000000;0.30;134249;0;12;0;720;49;0
218919;Cali;79772000;2228457;1;4005;5/05/2017;1500000;21.94;95896;3972;12;21;540;65;0
218931;Cali;86133000;1542612;0;7064;27/06/2017;761000;33.93;720238;0;12;0;1080;48;1
218936;Cali;87373000;1853002;0;7064;29/06/2017;556000;33.93;515817;0;12;0;1080;69;0
218957;Cartagena;10502000;1399243;0;7064;21/05/2017;3400000;33.93;2728863;0;12;0;720;30;1
219017;Cartagena;89618300;774587;0;7032;10/05/2017;1072450;0.30;40642;0;12;73;450;21;0
219035;Cartagena;61043000;1465545;1;4010;13/05/2017;2593120;33.93;2512604;0;12;0;720;27;1
219046;Cartagena;64303000;2090367;2;7064;14/04/2017;2000000;33.93;1875084;0;12;0;720;27;1
219054;Cartagena;45036070;1416889;1;4024;13/05/2017;3000000;33.93;1717545;0;12;0;720;33;1
219093;Cartagena;33727470;2032913;2;4024;8/05/2017;800000;33.93;75942;0;12;0;360;35;1
219108;Cartagena;12291530;2303062;1;7046;15/05/2017;1000000;33.93;944235;17311;12;0;450;35;1
219112;Cartagena;8502000;1399243;0;7064;21/05/2017;3400000;33.93;2728863;0;12;0;720;40;1
219130;Cartagena;65160000;1606931;1;7064;23/06/2017;938000;33.93;887726;0;12;0;1080;34;1
219184;Cartagena;4186490;1550649;0;7032;10/05/2017;1072450;0.30;40642;0;12;73;450;21;1
219204;Cartagena;61043000;1465545;1;4010;13/05/2017;2593120;33.93;2512604;0;12;0;720;51;1
219214;Cartagena;64303000;2090367;2;7064;14/04/2017;2000000;33.93;1875084;0;12;0;720;61;1
219227;Cartagena;15300390;919321;2;7032;14/06/2017;2200000;0.30;780312;0;12;0;720;44;1
219253;Cartagena;8502000;1399243;0;7064;21/05/2017;3400000;33.93;2728863;0;12;0;720;56;1
219297;Cartagena;33732000;1110491;2;4050;1/04/2017;638800;33.93;638800;0;12;0;300;68;1
219321;Cartagena;9549373;774589;0;7032;10/05/2017;1072450;0.30;40642;0;12;73;450;21;0
219347;Cartagena;61043000;774589;1;4010;13/05/2017;2593120;33.93;2512604;0;12;0;720;68;0
219360;Cartagena;64303000;2090367;2;7064;14/04/2017;2000000;33.93;1875084;0;12;0;720;62;1
219375;Cartagena;5087841;1416889;1;4024;13/05/2017;3000000;33.93;1717545;0;12;0;720;33;1
219388;Cartagena;79570680;919321;2;7032;14/06/2017;2200000;0.30;780312;0;12;0;720;44;1
219418;Cartagena;4934977;2032913;2;4024;8/05/2017;800000;33.93;75942;0;12;0;360;35;0
219444;Cartagena;4186490;1550649;0;7032;10/05/2017;1072450;0.30;40642;0;12;73;450;21;1
219470;Cartagena;61043000;1465545;1;4010;13/05/2017;2593120;33.93;2512604;0;12;0;720;51;1
219483;Cartagena;64303000;2090367;2;7064;14/04/2017;2000000;33.93;1875084;0;12;0;720;61;1
219498;Cartagena;96817;1416889;1;4024;13/05/2017;3000000;33.93;1717545;0;12;0;720;33;0
219511;Cartagena;15300390;919321;2;7032;14/06/2017;2200000;0.30;780312;0;12;0;720;44;1
219541;Cartagena;1979942;2032913;2;4024;8/05/2017;800000;33.93;75942;0;12;0;360;35;0
219556;Cartagena;7440483;2303062;1;7046;15/05/2017;1000000;33.93;944235;17311;12;0;450;35;0
219560;Cartagena;8502000;1399243;0;7064;21/05/2017;3400000;33.93;2728863;0;12;0;720;56;1
219580;Cartagena;4230730;1606931;1;7064;23/06/2017;938000;33.93;887726;0;12;0;1080;34;0
218201;Cali;6778000;1417285;2;7001;29/04/2017;3000000;0.28;627875;2455;12;0;720;68;0
218453;Cali;6778000;1417285;2;7001;29/04/2017;3000000;0.28;627875;2455;12;0;720;68;0
218705;Cali;6778000;1417285;2;7001;29/04/2017;3000000;0.28;627875;2455;12;0;720;68;0
219132;Cartagena;48267920;2206146;1;7021;21/04/2017;800000;0.30;108107;1066;12;0;540;35;1
217066;Barranquilla;57606000;1601073;2;7059;16/04/2017;3207828;32.09;1674024;15712;12;0;1080;68;1
217263;Barranquilla;57606000;1601073;2;7059;16/04/2017;3207828;32.09;1674024;15712;12;0;1080;68;1
217460;Barranquilla;57606000;1601073;2;7059;16/04/2017;3207828;32.09;1674024;15712;12;0;1080;68;1
217662;Bogotá;55694000;774851;0;7032;14/06/2017;4173190;0.30;2310971;19062;12;0;900;23;1
217880;Bogotá;55694000;1844872;2;7032;14/06/2017;4173190;0.30;2310971;19062;12;0;900;23;0
218098;Bogotá;55694000;1844872;2;7032;14/06/2017;4173190;0.30;2310971;19062;12;0;900;23;1
217753;Bogotá;96080000;1703043;0;7032;30/05/2017;1000000;0.30;79398;3711;12;39;450;30;0
217971;Bogotá;96080000;1703043;0;7032;30/05/2017;1000000;0.30;79398;3711;12;39;450;30;0
218189;Bogotá;96080000;1703043;0;7032;30/05/2017;1000000;0.30;79398;3711;12;39;450;30;1
218310;Cali;43570000;1565783;0;7064;22/06/2017;350000;33.93;337546;7764;12;0;1080;22;1
218562;Cali;43570000;1565783;0;7064;22/06/2017;350000;33.93;337546;7764;12;0;1080;22;1
218814;Cali;43570000;1565783;0;7064;22/06/2017;350000;33.93;337546;7764;12;0;1080;22;1
218324;Cali;49015000;2097717;1;7001;17/04/2017;4000000;0.28;2422890;45481;12;0;1080;32;0
218576;Cali;49015000;2097717;1;7001;17/04/2017;4000000;0.28;2422890;45481;12;0;1080;32;0
218828;Cali;49015000;2097717;1;7001;17/04/2017;4000000;0.28;2422890;45481;12;0;1080;32;0
218449;Cali;99090000;1437853;2;7001;20/04/2017;1000000;0.30;573946;4243;12;0;720;23;0
218701;Cali;99090000;1437853;2;7001;20/04/2017;1000000;0.30;573946;4243;12;0;720;23;0
218953;Cali;99090000;1437853;2;7001;20/04/2017;1000000;0.30;573946;4243;12;0;720;23;0
217632;Bogotá;45343000;861085;0;7021;17/04/2017;400000;0.30;146909;1086;12;0;360;22;1
217850;Bogotá;45343000;1539399;0;7021;17/04/2017;400000;0.30;146909;1086;12;0;360;22;0
218068;Bogotá;45343000;1539399;0;7021;17/04/2017;400000;0.30;146909;1086;12;0;360;22;1
218212;Cali;18392000;1450468;2;7025;12/04/2017;4000000;33.93;3749119;51746;12;0;720;27;0
218464;Cali;11282000;1450468;2;7025;12/04/2017;4000000;33.93;3749119;51746;12;0;720;27;0
218716;Cali;11282000;1450468;2;7025;12/04/2017;4000000;33.93;3749119;51746;12;0;720;27;0
218274;Cali;30251000;2007334;1;7016;14/06/2017;4000000;33.93;3901173;41760;12;0;1080;40;0
218526;Cali;30251000;2007334;1;7016;14/06/2017;4000000;33.93;3901173;41760;12;0;1080;40;0
218778;Cali;30251000;2007334;1;7016;14/06/2017;4000000;33.93;3901173;41760;12;0;1080;40;0
217062;Barranquilla;56997000;1509621;0;7032;18/04/2017;2200000;0.30;881353;20996;12;0;720;20;0
217259;Barranquilla;56997000;1509621;0;7032;18/04/2017;2200000;0.30;881353;20996;12;0;720;20;0
217456;Barranquilla;56997000;1509621;0;7032;18/04/2017;2200000;0.30;881353;20996;12;0;720;20;0
217700;Bogotá;11874000;1014804;0;7032;2/07/2017;1000000;0.30;134705;2877;11;0;540;62;1
217918;Bogotá;71874000;1014804;2;7032;2/07/2017;1000000;0.30;134705;2877;11;0;540;62;1
218136;Bogotá;71874000;1014804;2;7032;2/07/2017;1000000;0.30;134705;2877;11;0;540;62;0
217016;Barranquilla;35970000;1410488;1;7032;10/06/2017;1000000;0.30;134530;884;11;0;540;47;0
217213;Barranquilla;35970000;1410488;1;7032;10/06/2017;1000000;0.30;134530;884;11;0;540;47;0
217410;Barranquilla;35970000;1410488;1;7032;10/06/2017;1000000;0.30;134530;884;11;0;540;47;0
217703;Bogotá;74125000;1883295;0;7025;22/06/2017;320000;33.93;291036;5021;11;0;540;52;0
217921;Bogotá;74125000;747054;2;7025;22/06/2017;320000;33.93;291036;5021;11;0;540;52;1
218139;Bogotá;74125000;1883295;2;7025;22/06/2017;320000;33.93;291036;5021;11;0;540;52;1
217088;Barranquilla;70952000;1118121;2;7025;30/03/2017;500000;33.93;374110;4610;11;0;510;21;0
217285;Barranquilla;70952000;1118121;2;7025;30/03/2017;500000;33.93;374110;4610;11;0;510;21;0
217482;Barranquilla;70952000;1118121;2;7025;30/03/2017;500000;33.93;374110;4610;11;0;510;21;0
217910;Bogotá;68631000;1052225;2;7032;21/06/2017;5227592;0.30;4430053;21836;12;22;1080;41;1
218128;Bogotá;68631000;1052225;2;7032;21/06/2017;5227592;0.30;4430053;21836;12;22;1080;41;0
219090;Cartagena;83378430;1462025;2;7025;21/04/2017;370000;33.93;315716;7521;13;0;360;21;1
219415;Cartagena;2596061;1462025;2;7025;21/04/2017;370000;33.93;315716;7521;13;0;360;21;1
219538;Cartagena;7690745;1462025;2;7025;21/04/2017;370000;33.93;315716;7521;13;0;360;21;0
217678;Bogotá;62559000;1581446;0;7001;10/05/2017;300000;33.93;110331;1178;13;0;360;39;0
217896;Bogotá;62559000;747054;2;4011;10/05/2017;300000;33.93;110331;1178;13;0;360;39;1
218114;Bogotá;62559000;1581446;2;4011;10/05/2017;300000;33.93;110331;1178;13;0;360;39;1
218446;Cali;98094000;1539047;1;7064;6/05/2017;5000000;33.93;4685725;96239;13;0;720;65;0
218698;Cali;98094000;1539047;1;7064;6/05/2017;5000000;33.93;4685725;96239;13;0;720;65;0
218950;Cali;98094000;1539047;1;7064;6/05/2017;5000000;33.93;4685725;96239;13;0;720;65;0
218381;Cali;67357000;2308736;1;7041;17/06/2017;300000;33.93;207391;1874;13;0;270;49;0
218633;Cali;67357000;2308736;1;7041;17/06/2017;300000;33.93;207391;1874;13;0;270;49;0
218885;Cali;67357000;2308736;1;7041;17/06/2017;300000;33.93;207391;1874;13;0;270;49;0
217107;Barranquilla;79827000;1031628;1;7025;2/04/2017;400000;33.93;207242;3235;13;0;180;68;1
217304;Barranquilla;79827000;1031628;1;7025;2/04/2017;400000;33.93;207242;3235;13;0;180;68;1
217501;Barranquilla;79827000;1031628;1;7025;2/04/2017;400000;33.93;207242;3235;13;0;180;68;1
217027;Barranquilla;40730000;1333487;1;7041;20/06/2017;300000;33.93;272932;2466;13;0;540;65;1
217224;Barranquilla;40730000;1333487;1;7041;20/06/2017;300000;33.93;272932;2466;13;0;540;65;1
217421;Barranquilla;40730000;1333487;1;7041;20/06/2017;300000;33.93;272932;2466;13;0;540;65;1
218338;Cali;53746000;1731412;0;7064;30/05/2017;300000;33.93;289488;3329;13;0;1080;22;1
218590;Cali;53746000;1731412;0;7064;30/05/2017;300000;33.93;289488;3329;13;0;1080;22;1
218842;Cali;53746000;1731412;0;7064;30/05/2017;300000;33.93;289488;3329;13;0;1080;22;1
217586;Bogotá;24227000;861085;1;7021;1/05/2017;480000;0.30;133344;2410;14;0;360;46;1
217804;Bogotá;24227000;2065049;2;7021;1/05/2017;480000;0.30;133344;2410;14;0;360;46;0
218022;Bogotá;24227000;2065049;2;7021;1/05/2017;480000;0.30;133344;2410;14;0;360;46;0
217684;Bogotá;66341000;2030466;0;4031;15/04/2017;320000;33.93;308674;3550;14;0;1080;32;0
217902;Bogotá;66341000;747054;1;4011;15/04/2017;320000;33.93;308674;3550;14;0;1080;32;1
218120;Bogotá;66341000;2030466;1;4011;15/04/2017;320000;33.93;308674;3550;14;0;1080;32;1
219004;Cartagena;38117000;1702475;0;7021;16/04/2017;300000;0.30;300000;2464;14;0;360;27;1
219169;Cartagena;38117000;1702475;0;7021;16/04/2017;300000;0.30;300000;2464;14;0;360;40;1
219306;Cartagena;38117000;774589;0;7021;16/04/2017;300000;0.30;300000;2464;14;0;360;62;0
218353;Cali;59400000;1601080;2;4044;7/04/2017;300000;28.73;118456;1764;15;0;240;34;0
218605;Cali;59400000;1601080;2;4044;7/04/2017;300000;28.73;118456;1764;15;0;240;34;0
218857;Cali;59400000;1601080;2;4044;7/04/2017;300000;28.73;118456;1764;15;0;240;34;0
216984;Barranquilla;7094000;1215365;1;7059;26/05/2017;346560;33.93;96841;1114;16;0;360;42;0
217181;Barranquilla;20894000;1215365;1;7059;26/05/2017;346560;33.93;96841;1114;16;0;360;42;0
217378;Barranquilla;20894000;1215365;1;7059;26/05/2017;346560;33.93;96841;1114;16;0;360;42;0
217108;Barranquilla;80283000;1431415;2;7032;2/06/2017;1464170;0.30;99290;571;16;0;540;27;0
217305;Barranquilla;80283000;1431415;2;7032;2/06/2017;1464170;0.30;99290;571;16;0;540;27;0
217502;Barranquilla;80283000;1431415;2;7032;2/06/2017;1464170;0.30;99290;571;16;0;540;27;0
217105;Barranquilla;79672000;2015398;1;7038;2/04/2017;489000;33.93;215990;3371;17;0;540;27;0
217302;Barranquilla;79672000;2015398;1;7038;2/04/2017;489000;33.93;215990;3371;17;0;540;27;0
217499;Barranquilla;79672000;2015398;1;7038;2/04/2017;489000;33.93;215990;3371;17;0;540;27;0
217130;Barranquilla;90861000;1611954;1;7032;6/06/2017;1500000;0.30;201617;662;17;0;540;38;1
217327;Barranquilla;90861000;1611954;1;7032;6/06/2017;1500000;0.30;201617;662;17;0;540;38;0
217524;Barranquilla;90861000;1611954;1;7032;6/06/2017;1500000;0.30;201617;662;17;0;540;38;0
218320;Cali;47292000;1952576;0;7030;26/06/2017;500000;33.93;431262;6731;17;0;540;47;1
218436;Cali;88793000;1140857;1;7025;9/05/2017;400000;33.93;341244;8129;17;0;360;60;1
218572;Cali;47292000;1952576;0;7030;26/06/2017;500000;33.93;431262;6731;17;0;540;47;1
218688;Cali;88793000;1140857;1;7025;9/05/2017;400000;33.93;341244;8129;17;0;360;60;1
218824;Cali;47292000;1952576;0;7030;26/06/2017;500000;33.93;431262;6731;17;0;540;47;1
